2025-07-01 15:09:47.055081 - [*] Starting scan on local from port 80 to 223...
2025-07-01 15:20:06.818794 - [!] Error scanning port 104 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.818794 - [!] Error scanning port 179 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.818794 - [!] Error scanning port 102 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.819793 - [!] Error scanning port 157 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.819793 - [!] Error scanning port 95 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.819793 - [!] Error scanning port 178 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.819793 - [!] Error scanning port 181 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.819793 - [!] Error scanning port 87 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.820793 - [!] Error scanning port 171 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.820793 - [!] Error scanning port 183 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.820793 - [!] Error scanning port 101 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.820793 - [!] Error scanning port 86 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.823866 - [!] Error scanning port 193 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.823866 - [!] Error scanning port 180 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.823866 - [!] Error scanning port 186 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.824867 - [!] Error scanning port 182 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.824867 - [!] Error scanning port 192 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.824867 - [!] Error scanning port 184 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.824867 - [!] Error scanning port 190 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.824867 - [!] Error scanning port 185 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.824867 - [!] Error scanning port 188 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.825868 - [!] Error scanning port 195 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.825868 - [!] Error scanning port 194 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.825868 - [!] Error scanning port 189 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 151 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 201 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 206 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 150 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 210 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 209 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 212 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 199 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 208 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 203 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 213 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 221 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 205 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 214 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.826867 - [!] Error scanning port 197 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.827919 - [!] Error scanning port 211 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.827919 - [!] Error scanning port 200 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.827919 - [!] Error scanning port 215 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.827919 - [!] Error scanning port 216 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.827919 - [!] Error scanning port 198 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.830919 - [!] Error scanning port 220 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.830919 - [!] Error scanning port 165 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.831918 - [!] Error scanning port 145 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.832985 - [!] Error scanning port 146 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.832985 - [!] Error scanning port 154 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.832985 - [!] Error scanning port 222 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.832985 - [!] Error scanning port 219 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 173 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 144 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 217 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 223 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 170 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 148 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 82 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 167 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 149 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 166 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 147 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.833984 - [!] Error scanning port 92 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:06.834986 - [!] Error scanning port 218 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.169928 - [!] Error scanning port 80 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.184935 - [!] Error scanning port 81 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.186406 - [!] Error scanning port 105 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.186406 - [!] Error scanning port 100 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.187405 - [!] Error scanning port 90 on local: [Errno 11001] getaddrinfo failed

2025-07-01 15:20:08.187405 - [!] Error scanning port 96 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.187405 - [!] Error scanning port 106 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.187405 - [!] Error scanning port 97 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.197314 - [!] Error scanning port 98 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.197314 - [!] Error scanning port 99 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:20:08.197314 - [!] Error scanning port 88 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:21:49.913318 - [*] Starting scan on local from port 53 to 53...
2025-07-01 15:21:52.615788 - [!] Error scanning port 53 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:24:48.074124 - [*] Starting scan on 192.168.0.163 from port 80 to 53...
2025-07-01 15:25:26.924842 - [*] Starting scan on 192.168.0.163 from port 80 to 80...
2025-07-01 15:25:27.943066 - [-] Port 80 is CLOSED on 192.168.0.163
2025-07-01 15:26:32.873474 - [*] Starting scan on 192.168..0.1 from port 80 to 80...
2025-07-01 15:26:32.876476 - [!] Error scanning port 80 on 192.168..0.1: [Errno 11001] getaddrinfo failed
2025-07-01 15:27:11.833445 - [*] Starting scan on 192.168.0.1 from port 80 to 80...
2025-07-01 15:27:12.845274 - [-] Port 80 is CLOSED on 192.168.0.1
2025-07-01 15:27:39.699665 - [*] Starting scan on 192.168.0.163 from port 80 to 80...
2025-07-01 15:27:40.718844 - [-] Port 80 is CLOSED on 192.168.0.163
2025-07-01 15:29:10.708544 - [*] Starting scan on 192.168.88.1 from port 80 to 80...
2025-07-01 15:29:11.729137 - [-] Port 80 is CLOSED on 192.168.88.1
